epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6394,1.18031,1.0872,1.23051,0.9373,1,0.995,0.71416,1.02056,0.9533,1.26961,0.00056,0.00056,0.00056
2,43.7312,1.17116,0.99847,1.23218,0.91792,0.85714,0.916,0.59526,1.14586,1.20647,1.31942,0.00108357,0.00108357,0.00108357
3,61.5318,1.13875,0.97809,1.20552,0.80894,0.80663,0.83722,0.5244,1.32005,1.27091,1.5539,0.00154972,0.00154972,0.00154972
4,78.5867,1.15395,0.97324,1.19781,0.89472,0.95238,0.937,0.58953,1.11505,0.99611,1.36483,0.001703,0.001703,0.001703
5,94.9951,1.1435,0.92195,1.20542,0.89088,0.90476,0.94437,0.66361,1.02789,0.8815,1.25943,0.001604,0.001604,0.001604
6,111.263,1.11463,0.87787,1.1869,0.90796,0.93996,0.98026,0.63867,1.20536,0.84675,1.3937,0.001505,0.001505,0.001505
7,127.574,1.11436,0.86204,1.19283,0.99943,1,0.995,0.73464,0.92244,0.61815,1.18815,0.001406,0.001406,0.001406
8,144.226,1.13335,0.84345,1.20013,0.98969,1,0.995,0.66224,1.10393,0.7183,1.33201,0.001307,0.001307,0.001307
9,161.738,1.06776,0.81623,1.17247,0.99969,1,0.995,0.66617,1.07036,0.66655,1.24205,0.001208,0.001208,0.001208
10,178.949,1.08598,0.7465,1.1551,0.98318,1,0.995,0.69621,1.02978,0.63003,1.25518,0.001109,0.001109,0.001109
11,232.054,1.02298,0.80956,1.18698,0.90796,1,0.98,0.75616,0.87155,0.69572,1.1914,0.00101,0.00101,0.00101
12,248.913,1.00691,0.72271,1.1536,0.94827,0.90476,0.96781,0.65372,1.10586,0.71834,1.28753,0.000911,0.000911,0.000911
13,264.918,0.99989,0.6577,1.16717,0.99592,1,0.995,0.74478,0.93558,0.51866,1.19156,0.000812,0.000812,0.000812
14,282.132,0.99231,0.64803,1.14381,0.99121,1,0.995,0.6917,1.00632,0.60305,1.27168,0.000713,0.000713,0.000713
15,298.977,0.9436,0.62615,1.11597,0.99599,1,0.995,0.64674,1.12121,0.61184,1.30678,0.000614,0.000614,0.000614
16,314.636,0.92426,0.60029,1.10304,0.9967,1,0.995,0.69957,1.01075,0.51813,1.21121,0.000515,0.000515,0.000515
17,330.953,0.89491,0.56283,1.09245,0.99584,1,0.995,0.68004,1.02681,0.50128,1.2519,0.000416,0.000416,0.000416
18,346.77,0.83915,0.53707,1.06747,0.9957,1,0.995,0.72664,0.99316,0.49682,1.21304,0.000317,0.000317,0.000317
19,362.195,0.86563,0.53821,1.06471,0.99652,1,0.995,0.75241,0.92213,0.46923,1.17278,0.000218,0.000218,0.000218
20,378.718,0.84766,0.52382,1.06105,0.99657,1,0.995,0.71653,0.97745,0.46512,1.19562,0.000119,0.000119,0.000119
