epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1177,1.53268,2.52122,1.57674,0.00318,1,0.36443,0.14524,1.33733,3.11283,1.78342,0.00056,0.00056,0.00056
2,38.7148,1.34715,1.73868,1.38462,0.48921,0.47619,0.54601,0.25928,1.31424,2.79372,2.13182,0.00108357,0.00108357,0.00108357
3,61.1066,1.31597,1.57068,1.36757,0.36104,0.61905,0.39211,0.18524,1.53502,2.90562,2.07019,0.00154972,0.00154972,0.00154972
4,88.3954,1.32787,1.51997,1.34097,0.64101,0.76538,0.792,0.41209,1.5602,2.03801,2.24384,0.001703,0.001703,0.001703
5,111.237,1.31276,1.34251,1.36222,0.49431,0.66667,0.54777,0.2566,1.66459,2.42544,1.91559,0.001604,0.001604,0.001604
6,135.442,1.31427,1.29036,1.34426,0.93889,0.95238,0.9504,0.62613,1.19026,1.37588,1.51428,0.001505,0.001505,0.001505
7,146.966,1.24785,1.18945,1.30742,0.84207,0.85714,0.92088,0.63234,1.20495,1.28903,1.45383,0.001406,0.001406,0.001406
8,159.389,1.23952,1.11228,1.29671,1,0.94419,0.995,0.70047,1.04218,0.95203,1.30344,0.001307,0.001307,0.001307
9,172.99,1.16573,1.0398,1.26551,1,0.84194,0.96527,0.58283,1.3462,0.93747,1.71009,0.001208,0.001208,0.001208
10,186.479,1.17731,0.95209,1.23042,0.98843,0.95238,0.99152,0.65881,1.14807,0.78447,1.40792,0.001109,0.001109,0.001109
11,218.56,1.12227,1.07098,1.27034,0.89965,1,0.98283,0.65095,1.09913,0.84957,1.33367,0.00101,0.00101,0.00101
12,233.141,1.09918,0.95695,1.22417,0.99695,1,0.995,0.63032,1.19086,0.93581,1.4357,0.000911,0.000911,0.000911
13,252.226,1.08472,0.87385,1.22079,0.98364,0.95238,0.99152,0.6775,1.12612,0.75999,1.35556,0.000812,0.000812,0.000812
14,270.343,1.06454,0.85911,1.21236,0.87157,1,0.98375,0.72411,0.93086,0.71215,1.22365,0.000713,0.000713,0.000713
15,283.023,1.00801,0.75846,1.17271,0.95452,0.99945,0.99091,0.6916,0.96579,0.66946,1.22377,0.000614,0.000614,0.000614
16,298.591,0.99358,0.72654,1.15456,0.9958,1,0.995,0.69992,1.03842,0.6056,1.24567,0.000515,0.000515,0.000515
17,313.588,0.99167,0.68508,1.16233,1,0.9853,0.995,0.73863,0.95754,0.5547,1.21151,0.000416,0.000416,0.000416
18,330.583,0.94418,0.65878,1.13839,0.99513,1,0.995,0.70837,0.9795,0.56562,1.21778,0.000317,0.000317,0.000317
19,346.029,0.92141,0.63519,1.10996,0.99528,1,0.995,0.71363,0.9765,0.54737,1.26237,0.000218,0.000218,0.000218
20,362.036,0.90222,0.62313,1.10827,0.99802,1,0.995,0.67561,1.06137,0.53026,1.25361,0.000119,0.000119,0.000119
