epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4428,2.66105,4.82261,2.59047,0.00333,1,0.50929,0.15248,2.05289,3.51525,2.37793,0.00016,0.00016,0.00016
2,36.2365,1.51538,3.56368,1.54776,0.00333,1,0.22111,0.07145,0.93151,3.08191,1.30392,0.00030634,0.00030634,0.00030634
3,39.4816,1.21285,3.14453,1.30711,0.00333,1,0.995,0.60925,0.84036,2.60477,1.2093,0.00041704,0.00041704,0.00041704
4,42.6949,1.10656,2.57674,1.30191,1,0.83777,0.995,0.55761,0.94374,2.42495,1.32023,0.0004921,0.0004921,0.0004921
5,46.0012,1.13427,2.18778,1.24337,0.6388,0.5,0.695,0.26582,1.54417,2.75927,2.29182,0.00053152,0.00053152,0.00053152
6,49.3133,1.08597,2.05808,1.23397,0.49155,1,0.66333,0.48908,0.82894,2.39087,1.18046,0.0005353,0.0005353,0.0005353
7,52.39,1.10715,2.06608,1.19215,0.62555,0.87664,0.82833,0.59633,0.82707,2.29614,1.29602,0.00050344,0.00050344,0.00050344
8,55.549,0.97676,1.82318,1.11871,0.63393,1,0.82833,0.563,0.89697,1.87579,1.61074,0.00043594,0.00043594,0.00043594
9,58.659,0.94049,1.67383,1.08514,0.99844,1,0.995,0.77075,0.91159,1.65691,1.53035,0.0003328,0.0003328,0.0003328
10,61.6249,0.96012,1.61642,1.12318,0.98864,1,0.995,0.77075,0.8283,1.4851,1.33135,0.00019402,0.00019402,0.00019402
